GUID,First Name,Middle,Last Name,Suffix,Professional Title,School,Affiliation
1,Samuel,Z.,Goldhaber,MD,Professor of Medicine,,Harvard Medical School
2,Peter,,Libby,MD,Mallinckrodt Professor of Medicine,,Harvard Medical School
3,Patrick,,O'Gara,MD,Professor of Medicine,,Harvard Medical School
4,Paul,M.,Ridker,"MD, MPH",Eugene Braunwald Professor of Medicine,,Harvard Medical School
5,Jorge,,Plutzky,MD,Associate Professor of Medicine,,Harvard Medical School
6,Donna ,,Polk,MD,Assistant Professor of Medicine,,Harvard Medical School
7,James,,Fang,MD,Professor of Medicine,University of Utah,Harvard Medical School
8,Deepak,L.,Bhatt,"MD, MPH",Professor of Medicine,,Harvard Medical School
9,John,G.,Byrne,MD,Professor of Medicine,,Harvard Medical School
10,Laurence,,Epstein,MD,Associate Professor of Medicine,,Harvard Medical School
11,William,G.,Stevenson,MD,Professor of Medicine,,Harvard Medical School
12,Christian,T.,Ruff,MD,Assistant Professor of Medicine,,Harvard Medical School
13,Jane,,Newburger,MD,Kawasaki Program Commonwealth Professor of Pediatrics,,Harvard Medical School
14,Michael,J.,Landzberg,MD,Assistant Professor of Medicine,,Harvard Medical School
15,Aaron ,B.,Waxman,MD,Associate Professor of Medicine,,Harvard Medical School
16,Joseph,,Loscalzo,"MD, PhD",Professor of Medicine,,Harvard Medical School
17,Mandeep,R.,Mehra,MD,Professor of Medicine,,Harvard Medical School
18,Garrick,C.,Stewart,MD,Associate Professor of Medicine,,Harvard Medical School
19,Akshay,,Desai,"MD, MPH",Assistant Professor of Medicine,,Harvard Medical School
20,Scott,D.,Solomon,MD,Professor of Medicine,,Harvard Medical School
21,Richard,T.,Lee,MD,Professor of Medicine,,Harvard Medical School
22,Philip,J.,Podrid,MD,Professor of Medicine,Boston University School of Medicine,Harvard Medical School
23,Arthur,,Sasahara,MD,Professor Emeritus,,Harvard Medical School
24,Gregory ,,Piazza,MD,Assistant Professor of Medicine,,Harvard Medical School
25,Marc,A.,Pfeffer,"MD, PhD",Professor of Medicine,,Harvard Medical School
26,Mark,A.,Creager,MD,Professor of Medicine,,Harvard Medical School
27,Joshua,A.,Beckman,"MD, MS",Associate Professor of Medicine,,Harvard Medical School
28,Ron ,,Blankstein,MD,Associate Professor of Medicine,,Harvard Medical School
29,Leonard,S.,Lilly,MD,Professor of Medicine,,Harvard Medical School
30,Susan,,Cheng,MD,Associate Professor of Medicine,,Harvard Medical School
31,Lynne,W.,Stevenson,MD,Professor of Medicine,,Harvard Medical School
32,Marc,S.,Sabatine,"MD, MPH",Professor of Medicine,,Harvard Medical School
33,David,A. ,Morrow,MD,Associate Professor of Medicine,,Harvard Medical School
34,Elliott,M.,Antman,MD,Professor of Medicine,,Harvard Medical School
35,Christopher,P.,Cannon,MD,Professor of Medicine,,Harvard Medical School
36,Jessica,L.,Mega,MD,Associate Professor of Medicine,,Harvard Medical School
37,Gary,,Balady,MD,Professor of Medicine,Boston University School of Medicine,Harvard Medical School
38,Benjamin,M.,Scirica,MD,Assistant Professor of Medicine,,Harvard Medical School
39,Michael ,L.,Steigner,MD,Assistant Professor of Radiology,,Harvard Medical School
40,Anju,,Nohria,MD,Assistant Professor of Medicine,,Harvard Medical School
41,Javid,J.,Moslehi,MD,Instructor in Medicine,,Harvard Medical School
42,Marc,P.,Bonaca,"MD, MPH",Instructor in Medicine,,Harvard Medical School
43,Scott,,Kinlay,"MD, MPH",Associate Professor of Medicine,,Harvard Medical School
44,Eugene,,Braunwald,MD,Professor of Medicine,,Harvard Medical School
45,Laura,,Mauri,"MD, MS",Professor of Medicine,,Harvard Medical School
46,Kevin,J.,Croce,MD,Instructor  in Medicine,,Harvard Medical School
47,Elazer,,Edelman,MD,Professor of Medicine,,Harvard Medical School
48,Karen,E.,Joynt,"MD, MPH",Instructor in Medicine,,Harvard Medical School
49,Susan,,Redline,"MD, MPH",Professor of Sleep Medicine,,Harvard Medical School
50,Enrico,,Cagliero,MD,Associate Professor of Medicine,,Harvard Medical School
